,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.9067357512953368,0.863013698630137,0.887905604719764,0.8848747249627369,0.888163551933128
recall,0.8974358974358975,0.875,0.887905604719764,0.8862179487179487,0.887905604719764
f1-score,0.9020618556701031,0.8689655172413793,0.887905604719764,0.8855136864557411,0.8880032340366629
support,390.0,288.0,0.887905604719764,678.0,678.0
